date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-01-10,30.18,30.35,30.06,30.0,8769.7,-0.2,-0.66,30.06,30.06,30.06,8769.7,8769.7,8769.7
2017-01-11,30.05,30.05,28.67,28.64,17365.43,-1.39,-4.62,29.365,29.365,29.365,13067.57,13067.57,13067.57
2017-01-12,28.5,28.85,27.58,27.21,20531.58,-1.09,-3.8,28.77,28.77,28.77,15555.57,15555.57,15555.57
2017-01-13,27.49,27.57,26.58,26.5,21246.53,-1.0,-3.63,28.223,28.223,28.223,16978.31,16978.31,16978.31
2017-01-16,26.42,26.42,24.75,24.01,30052.87,-1.83,-6.88,27.528,27.528,27.528,19593.22,19593.22,19593.22
2017-01-17,24.71,25.56,25.42,23.83,27186.47,0.67,2.71,26.6,27.177,27.177,23276.58,20858.76,20858.76
2017-01-18,25.12,25.6,25.48,24.8,21358.89,0.06,0.24,25.962,26.934,26.934,24075.27,20930.21,20930.21
2017-01-19,25.23,26.4,26.35,25.13,19770.22,0.87,3.41,25.716,26.861,26.861,23923.0,20785.21,20785.21
2017-01-20,26.5,26.99,26.6,26.32,34243.76,0.25,0.95,25.72,26.832,26.832,26522.44,22280.61,22280.61
2017-01-23,26.31,27.0,26.49,26.31,23026.72,-0.11,-0.41,26.068,26.798,26.798,25117.21,22355.22,22355.22
2017-01-24,26.47,26.64,25.82,25.66,16810.3,-0.67,-2.53,26.148,26.374,26.709,23041.98,23159.28,21851.13
2017-01-25,25.7,25.92,25.8,25.65,11091.38,-0.02,-0.08,26.212,26.087,26.633,20988.48,22531.87,20954.49
2017-01-26,25.87,26.35,26.18,25.74,14252.65,0.38,1.47,26.178,25.947,26.598,19884.96,21903.98,20438.96
2017-02-03,26.1,26.79,26.2,26.1,12062.65,0.02,0.08,26.098,25.909,26.57,15448.74,20985.59,19840.65
2017-02-06,26.28,26.74,26.65,26.26,23540.53,0.45,1.72,26.13,26.099,26.575,15551.5,20334.36,20087.31
2017-02-07,26.56,26.6,26.28,26.1,14048.0,-0.37,-1.39,26.222,26.185,26.557,14999.04,19020.51,19709.86
2017-02-08,26.28,26.72,26.63,25.91,24172.59,0.35,1.33,26.388,26.3,26.561,17615.28,19301.88,19972.37
2017-02-09,26.69,27.32,26.84,26.52,29210.32,0.21,0.79,26.52,26.349,26.577,20606.82,20245.89,20485.59
2017-02-10,26.91,26.99,26.4,26.39,17438.03,-0.44,-1.64,26.56,26.329,26.567,21681.89,18565.32,20325.19
2017-02-13,26.31,26.87,26.82,26.21,19543.0,0.42,1.59,26.594,26.362,26.58,20882.39,18216.95,20286.08
2017-02-14,26.92,27.07,26.8,26.5,14153.33,-0.02,-0.07,26.698,26.46,26.417,20903.45,17951.25,20555.26
2017-02-15,26.88,27.5,27.38,26.59,37809.04,0.58,2.16,26.848,26.618,26.353,23630.74,20623.01,21577.44
2017-02-16,27.22,30.12,30.12,27.2,74637.12,2.74,10.01,27.504,27.012,26.48,32716.1,26661.46,24282.72
2017-02-17,30.12,30.98,29.82,29.51,107408.99,-0.3,-1.0,28.188,27.374,26.642,50710.3,36196.1,28590.84
2017-02-20,29.36,29.97,28.67,28.42,63955.05,-1.15,-3.86,28.558,27.576,26.838,59592.71,40237.55,30285.95
2017-02-21,28.79,28.86,28.72,28.3,40608.64,0.05,0.17,28.942,27.82,27.003,64883.77,42893.61,30957.06
2017-02-22,28.71,28.72,28.3,28.12,29903.06,-0.42,-1.46,29.126,27.987,27.144,63302.57,43466.66,31384.27
2017-02-23,28.12,28.51,28.39,28.06,26799.02,0.09,0.32,28.78,28.142,27.246,53734.95,43225.53,31735.71
2017-02-24,28.39,28.85,28.63,28.11,26231.5,0.24,0.84,28.542,28.365,27.347,37499.45,44104.88,31335.1
2017-02-27,28.63,28.8,27.81,27.79,27416.37,-0.82,-2.86,28.37,28.464,27.413,30191.72,44892.21,31554.58
2017-02-28,27.8,28.03,27.82,27.51,22904.87,0.01,0.04,28.19,28.566,27.513,26650.96,45767.37,31859.31
2017-03-01,27.81,28.19,27.9,27.75,18602.14,0.08,0.29,28.11,28.618,27.618,24390.78,43846.68,32234.85
2017-03-02,27.9,27.98,27.41,27.31,21574.51,-0.49,-1.76,27.914,28.347,27.68,23345.88,38540.42,32600.94
2017-03-03,27.47,27.48,27.39,27.1,15405.88,-0.02,-0.07,27.666,28.104,27.739,21180.75,29340.1,32768.1
2017-03-06,27.45,28.2,28.12,27.35,25214.1,0.73,2.67,27.728,28.049,27.813,20740.3,25466.01,32851.78
2017-03-07,28.0,28.88,28.77,28.0,38587.23,0.65,2.31,27.918,28.054,27.937,23876.77,25263.87,34078.74
2017-03-08,28.6,29.37,29.29,28.3,45005.53,0.52,1.81,28.196,28.153,28.07,29157.45,26774.12,35120.39
2017-03-09,29.05,29.27,28.56,28.46,31557.39,-0.73,-2.49,28.426,28.17,28.156,31154.03,27249.95,35237.74
2017-03-10,28.57,28.9,28.69,28.32,23446.91,0.13,0.46,28.686,28.176,28.271,32762.23,26971.49,35538.18
2017-03-13,28.71,29.35,29.26,28.36,32850.58,0.57,1.99,28.914,28.321,28.393,34289.53,27514.91,36203.56
2017-03-14,29.12,29.56,29.49,29.01,44791.4,0.23,0.79,29.058,28.488,28.527,35530.36,29703.57,37735.47
2017-03-15,29.25,30.58,30.1,29.25,68837.59,0.61,2.07,29.22,28.708,28.663,40296.77,34727.11,39286.89
